#
# SPHERE/CPI neutral density filters transmission curves
#
# Updated with final values on 2015-04-16 by Arthur Vigan
# For any information, please contact <arthur.vigan@lam.fr>
#
#  wavelength    ND0.0          ND1.0          ND2.0          ND3.5
#
      900     1.00000000     0.12939400     0.01949900     0.00147946
      901     1.00000000     0.12937000     0.01950810     0.00148131
      902     1.00000000     0.12934600     0.01951790     0.00148328
      903     1.00000000     0.12932000     0.01952830     0.00148537
      904     1.00000000     0.12929200     0.01953930     0.00148760
      905     1.00000000     0.12926200     0.01955120     0.00148999
      906     1.00000000     0.12923000     0.01956380     0.00149254
      907     1.00000000     0.12919600     0.01957740     0.00149528
      908     1.00000000     0.12915900     0.01959210     0.00149823
      909     1.00000000     0.12911900     0.01960790     0.00150141
      910     1.00000000     0.12907600     0.01962500     0.00150486
      911     1.00000000     0.12902900     0.01964350     0.00150861
      912     1.00000000     0.12897800     0.01966380     0.00151269
      913     1.00000000     0.12892200     0.01968600     0.00151716
      914     1.00000000     0.12886100     0.01971030     0.00152207
      915     1.00000000     0.12879300     0.01973730     0.00152749
      916     1.00000000     0.12871800     0.01976710     0.00153350
      917     1.00000000     0.12863400     0.01980050     0.00154022
      918     1.00000000     0.12854000     0.01983800     0.00154777
      919     1.00000000     0.12843300     0.01988040     0.00155631
      920     1.00000000     0.12831100     0.01992880     0.00156605
      921     1.00000000     0.12817100     0.01998460     0.00157727
      922     1.00000000     0.12800800     0.02004950     0.00159033
      923     1.00000000     0.12781600     0.02012610     0.00160572
      924     1.00000000     0.12758600     0.02021780     0.00162413
      925     1.00000000     0.12730600     0.02032950     0.00164656
      926     1.00000000     0.12695800     0.02046860     0.00167446
      927     1.00000000     0.12651300     0.02064670     0.00171014
      928     1.00000000     0.12592400     0.02088280     0.00175738
      929     1.00000000     0.12510700     0.02121090     0.00182290
      930     1.00000000     0.12389900     0.02169830     0.00191991
      931     1.00000000     0.12192500     0.02249970     0.00207859
      932     1.00000000     0.11809800     0.02407180     0.00238645
      933     1.00000000     0.10722400     0.02869360     0.00326072
      934     1.00000000     0.16921500     0.00973007     0.00098873
      935     1.00000000     0.17539300     0.00134260     0.00000000
      936     1.00000000     0.14560700     0.01318530     0.00019332
      937     1.00000000     0.13980300     0.01542670     0.00065142
      938     1.00000000     0.13719800     0.01643750     0.00085783
      939     1.00000000     0.13570700     0.01701800     0.00097619
      940     1.00000000     0.13473900     0.01739570     0.00105311
      941     1.00000000     0.13406000     0.01766130     0.00110716
      942     1.00000000     0.13414200     0.01790790     0.00114723
      943     1.00000000     0.13659300     0.01837790     0.00117898
      944     1.00000000     0.13884400     0.01886130     0.00121445
      945     1.00000000     0.14126200     0.01930220     0.00124965
      946     1.00000000     0.14285900     0.01961440     0.00126862
      947     1.00000000     0.14433200     0.01987710     0.00128520
      948     1.00000000     0.14503000     0.02001140     0.00129205
      949     1.00000000     0.14558800     0.02006420     0.00129450
      950     1.00000000     0.14606100     0.02008370     0.00129029
      951     1.00000000     0.14635600     0.02009130     0.00128085
      952     1.00000000     0.14654600     0.02005690     0.00127022
      953     1.00000000     0.14684200     0.01999960     0.00125600
      954     1.00000000     0.14684500     0.01988640     0.00123708
      955     1.00000000     0.14640900     0.01972130     0.00121778
      956     1.00000000     0.14573200     0.01950680     0.00119736
      957     1.00000000     0.14503200     0.01929630     0.00117602
      958     1.00000000     0.14443200     0.01911030     0.00115481
      959     1.00000000     0.14378700     0.01892500     0.00113365
      960     1.00000000     0.14328900     0.01872400     0.00111254
      961     1.00000000     0.14256500     0.01849750     0.00109024
      962     1.00000000     0.14183900     0.01828790     0.00106906
      963     1.00000000     0.14096200     0.01807370     0.00104781
      964     1.00000000     0.14021100     0.01786620     0.00102632
      965     1.00000000     0.13955800     0.01766820     0.00100545
      966     1.00000000     0.13879300     0.01745840     0.00098381
      967     1.00000000     0.13804500     0.01724040     0.00096290
      968     1.00000000     0.13724600     0.01702660     0.00094288
      969     1.00000000     0.13628900     0.01679310     0.00092332
      970     1.00000000     0.13551500     0.01659130     0.00090276
      971     1.00000000     0.13470000     0.01638460     0.00088252
      972     1.00000000     0.13391300     0.01617800     0.00086318
      973     1.00000000     0.13303600     0.01596690     0.00084343
      974     1.00000000     0.13209100     0.01575250     0.00082334
      975     1.00000000     0.13095000     0.01549980     0.00080446
      976     1.00000000     0.13027500     0.01531220     0.00078621
      977     1.00000000     0.12951300     0.01511240     0.00076791
      978     1.00000000     0.12856800     0.01490440     0.00075024
      979     1.00000000     0.12781400     0.01471090     0.00073241
      980     1.00000000     0.12690500     0.01450320     0.00071598
      981     1.00000000     0.12607500     0.01431250     0.00069965
      982     1.00000000     0.12522000     0.01411830     0.00068399
      983     1.00000000     0.12442300     0.01392980     0.00066851
      984     1.00000000     0.12365200     0.01375250     0.00065319
      985     1.00000000     0.12282600     0.01356600     0.00063829
      986     1.00000000     0.12192800     0.01337820     0.00062383
      987     1.00000000     0.12120500     0.01321270     0.00060980
      988     1.00000000     0.12044500     0.01304420     0.00059628
      989     1.00000000     0.11961100     0.01286360     0.00058335
      990     1.00000000     0.11882000     0.01269080     0.00057079
      991     1.00000000     0.11822300     0.01254400     0.00055835
      992     1.00000000     0.11754800     0.01238920     0.00054593
      993     1.00000000     0.11670600     0.01221710     0.00053435
      994     1.00000000     0.11592700     0.01206100     0.00052290
      995     1.00000000     0.11524900     0.01191150     0.00051132
      996     1.00000000     0.11454700     0.01176430     0.00050061
      997     1.00000000     0.11385000     0.01161630     0.00049008
      998     1.00000000     0.11316700     0.01147330     0.00047954
      999     1.00000000     0.11244700     0.01133190     0.00046957
     1000     1.00000000     0.11185900     0.01119330     0.00046003
     1001     1.00000000     0.11118200     0.01104930     0.00045061
     1002     1.00000000     0.11039600     0.01090710     0.00044115
     1003     1.00000000     0.10992600     0.01079500     0.00043236
     1004     1.00000000     0.10915100     0.01065830     0.00042334
     1005     1.00000000     0.10856700     0.01053350     0.00041487
     1006     1.00000000     0.10800400     0.01041340     0.00040681
     1007     1.00000000     0.10731300     0.01029070     0.00039839
     1008     1.00000000     0.10669300     0.01016300     0.00039042
     1009     1.00000000     0.10614000     0.01005400     0.00038270
     1010     1.00000000     0.10547500     0.00993322     0.00037509
     1011     1.00000000     0.10484200     0.00981755     0.00036788
     1012     1.00000000     0.10421400     0.00969726     0.00036044
     1013     1.00000000     0.10363500     0.00958384     0.00035382
     1014     1.00000000     0.10316900     0.00948452     0.00034647
     1015     1.00000000     0.10252300     0.00936992     0.00033950
     1016     1.00000000     0.10192300     0.00926005     0.00033302
     1017     1.00000000     0.10140200     0.00916529     0.00032654
     1018     1.00000000     0.10075900     0.00904400     0.00032054
     1019     1.00000000     0.10026100     0.00894692     0.00031438
     1020     1.00000000     0.09967220     0.00885036     0.00030864
